id,Transport_service,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,trip_duration,pickup_neighborhood,dropoff_neighborhood
0,3,01-01-2019 00:00,01-01-2019 00:06,1,1.32,-73.96125793,40.7961998,-73.95005035,40.78731155,3,387,AH,C
1,1,01-01-2019 00:01,01-01-2019 00:27,3,13.7,-73.95616913,40.70775604,-73.93994904,40.83955765,3,1568,Z,S
2,4,01-01-2019 00:01,01-01-2019 00:21,1,5.3,-73.99310303,40.75263214,-73.9539032,40.81653976,1,1219,D,AL
3,2,01-01-2019 00:01,01-01-2019 00:16,2,7.19,-73.98300934,40.73141861,-73.93096924,40.80846024,2,873,AT,J
4,1,01-01-2019 00:02,01-01-2019 00:20,2,2.9,-74.00463104,40.74723434,-73.97639465,40.77723694,1,1091,AG,AV
5,2,01-01-2019 00:03,01-01-2019 00:12,1,2.76,-73.95694733,40.76638031,-73.94300842,40.79682159,3,552,K,J
6,2,01-01-2019 00:04,01-01-2019 00:13,2,1,-73.98912048,40.73804474,-73.99163818,40.74899292,1,551,R,D
7,4,01-01-2019 00:05,01-01-2019 00:32,4,10.6,-73.97275543,40.7641983,-73.83495331,40.69235611,1,1675,A,T
8,3,01-01-2019 00:05,01-01-2019 00:12,2,2.32,-73.96299744,40.76580811,-73.96775818,40.79039001,3,456,AK,U
9,3,01-01-2019 00:05,01-01-2019 00:08,3,0.73,-73.97382355,40.79204941,-73.9779129,40.78376007,1,207,U,I
10,3,01-01-2019 00:05,01-01-2019 00:17,3,1.3,-73.98628998,40.73036575,-73.98271179,40.74522781,2,731,AT,AO
11,3,01-01-2019 00:05,01-01-2019 00:13,4,1.1,-73.99938202,40.73001099,-73.98825836,40.7233696,2,473,AB,AC
12,1,01-01-2019 00:05,01-01-2019 00:23,1,2.8,-74.00914001,40.73945999,-73.97950745,40.72434998,1,1080,Q,AT
13,2,01-01-2019 00:05,01-01-2019 00:16,2,1.1,-73.99097443,40.73632813,-73.98156738,40.74106598,2,629,R,Y
14,1,01-01-2019 00:05,01-01-2019 00:20,4,12.1,-73.78330231,40.64866638,-73.87339783,40.77420807,1,886,G,F
15,2,01-01-2019 00:05,01-01-2019 00:28,1,6.9,-73.99328613,40.74123383,-73.93387604,40.70560837,2,1383,AP,E
16,4,01-01-2019 00:05,01-01-2019 00:14,4,1.31,-73.98822784,40.73852158,-74.00075531,40.72973251,2,529,R,AB
17,4,01-01-2019 00:06,01-01-2019 00:15,1,1.86,-73.96956635,40.78876495,-73.95708466,40.77068329,1,603,U,K
18,3,01-01-2019 00:06,01-01-2019 00:25,3,4.6,-74.00583649,40.74000549,-73.95333862,40.76990128,3,1142,Q,K
19,3,01-01-2019 00:06,01-01-2019 00:14,1,2.2,-73.96212006,40.66899872,-73.98901367,40.68841171,1,507,AW,AS
20,2,01-01-2019 00:06,01-01-2019 00:26,3,4.5,-73.98445892,40.73672867,-73.97400665,40.68951035,2,1211,R,V
21,3,01-01-2019 00:06,01-01-2019 00:11,3,1.34,-73.9577713,40.76148224,-73.95149994,40.77687836,2,305,K,AM
22,2,01-01-2019 00:06,01-01-2019 00:31,1,5.2,-73.98049164,40.74250793,-73.94407654,40.71160507,1,1481,Y,Z
23,2,01-01-2019 00:06,01-01-2019 00:11,3,0.91,-73.98215485,40.73116302,-73.9881134,40.72000122,3,282,AT,AC
24,2,01-01-2019 00:07,01-01-2019 00:18,4,2.54,-73.94616699,40.78934097,-73.95632935,40.81480026,2,712,C,AL
25,3,01-01-2019 00:07,01-01-2019 00:37,2,10.4,-73.96898651,40.75342178,-73.85420227,40.68510056,1,1842,N,B
26,4,01-01-2019 00:07,01-01-2019 00:16,3,2.07,-73.99177551,40.72724152,-74.01354218,40.71751022,1,558,H,
27,4,01-01-2019 00:07,01-01-2019 00:21,3,2.5,-73.97720337,40.7926445,-73.95152283,40.77180862,2,824,U,AM
28,1,01-01-2019 00:07,01-01-2019 00:33,1,7.9,-73.97222137,40.67683029,-74.02483368,40.6361618,3,1544,V,M
29,4,01-01-2019 00:08,01-01-2019 00:27,4,1.47,-73.97290039,40.75925064,-73.99141693,40.75373077,1,1183,A,D
30,3,01-01-2019 00:08,01-01-2019 00:22,2,2.78,-73.98535156,40.71776581,-73.95763397,40.71775055,2,872,AC,Z
31,2,01-01-2019 00:08,01-01-2019 00:19,4,3.7,-73.78224945,40.64474106,-73.78314209,40.66827011,3,703,G,G
32,3,01-01-2019 00:08,01-01-2019 00:12,4,0.73,-73.95391846,40.77880096,-73.95098114,40.78679276,3,218,C,C
33,3,01-01-2019 00:08,01-01-2019 00:17,1,2.4,-73.97988129,40.7348175,-73.96437836,40.76461029,3,511,AT,AK
34,1,01-01-2019 00:09,01-01-2019 00:22,3,2.1,-73.99056244,40.74449921,-73.987854,40.72248077,2,795,AO,AC
35,4,01-01-2019 00:09,01-01-2019 00:10,3,0.3,-73.95556641,40.77236557,-73.9585495,40.76863861,1,67,K,K
36,2,01-01-2019 00:09,01-01-2019 00:16,4,1.3,-73.9994278,40.7440033,-73.97949219,40.74378204,2,422,AP,Y
37,1,01-01-2019 00:09,01-01-2019 00:29,3,3.6,-73.98071289,40.72983933,-73.94656372,40.70870972,1,1200,AT,Z
38,1,01-01-2019 00:09,01-01-2019 00:12,2,0.7,-73.96044159,40.76600266,-73.96321106,40.75753784,1,201,K,N
39,3,01-01-2019 00:10,01-01-2019 00:15,1,0.8,-73.99182129,40.73429108,-73.99291992,40.72763062,2,343,H,H
40,4,01-01-2019 00:10,01-01-2019 00:15,2,0.7,-73.97917938,40.76224136,-73.96917725,40.76252365,1,327,A,AK
41,2,01-01-2019 00:10,01-01-2019 00:31,4,6.83,-73.97715759,40.78683853,-73.99098969,40.72800827,2,1315,I,H
42,1,01-01-2019 00:10,01-01-2019 00:35,4,4.6,-74.00392914,40.75288773,-73.95214081,40.77744293,2,1537,AG,AM
43,4,01-01-2019 00:10,01-01-2019 00:17,1,1.7,-73.96247101,40.77565384,-73.96366119,40.75848389,2,424,O,N
44,1,01-01-2019 00:10,01-01-2019 00:18,3,1.65,-73.96247101,40.77556229,-73.9675293,40.75773239,1,478,O,N
45,1,01-01-2019 00:10,01-01-2019 00:17,1,0.66,-73.95849609,40.77983093,-73.95893097,40.77491379,2,409,O,O
46,2,01-01-2019 00:10,01-01-2019 00:34,2,2.7,-74.00164032,40.71932983,-73.99190521,40.75420761,3,1447,X,D
47,3,01-01-2019 00:11,01-01-2019 00:41,2,8.64,-73.98149872,40.75862885,-73.94116211,40.84563828,3,1814,AA,S
48,4,01-01-2019 00:11,01-01-2019 00:16,3,0.69,-73.98963165,40.74716949,-73.98963165,40.74716949,3,331,D,D
49,4,01-01-2019 00:11,01-01-2019 00:21,2,1.26,-73.98699188,40.76624298,-74.00284576,40.76044846,1,633,AR,P
50,4,01-01-2019 00:11,01-01-2019 00:44,2,3.1,-74.00476074,40.74237823,-73.97253418,40.76478958,2,2011,Q,A
51,1,01-01-2019 00:11,01-01-2019 00:16,3,0.44,-74.00128174,40.73464203,-73.99586487,40.7385788,3,303,AB,AP
52,2,01-01-2019 00:12,01-01-2019 00:17,4,1.78,-73.96110535,40.71198654,-73.98698425,40.71829987,1,336,Z,AC
53,1,01-01-2019 00:12,01-01-2019 00:19,1,1,-74.0063858,40.73327255,-74.00402832,40.72064209,2,430,AB,X
54,3,01-01-2019 00:13,01-01-2019 00:27,2,2,-73.98285675,40.7691536,-73.97293854,40.7644577,3,853,AR,A
55,1,01-01-2019 00:13,01-01-2019 00:23,1,1.72,-73.9799118,40.74615097,-73.99923706,40.73405838,3,606,Y,AB
56,3,01-01-2019 00:13,01-01-2019 00:18,1,0.88,-73.98042297,40.7455864,-73.98761749,40.73565292,3,311,Y,R
57,3,01-01-2019 00:13,01-01-2019 00:58,3,5.6,-73.95836639,40.81055832,-73.98940277,40.74329758,3,2746,AH,R
58,4,01-01-2019 00:13,01-01-2019 00:41,2,5.4,-73.9673233,40.75259399,-74.01673889,40.71020889,3,1670,N,AU
59,2,01-01-2019 00:13,01-01-2019 00:37,1,2.89,-74.00630188,40.73352051,-73.97812653,40.75429153,2,1420,AB,AD
60,1,01-01-2019 00:13,01-01-2019 00:33,3,3.6,-73.98646545,40.74252701,-73.97100067,40.78346252,1,1185,R,I
61,4,01-01-2019 00:13,01-01-2019 00:19,2,1.2,-73.98794556,40.77936935,-73.98429108,40.76723862,1,371,AV,AR
62,3,01-01-2019 00:14,01-01-2019 00:18,3,0.85,-73.97351837,40.79537582,-73.96438599,40.80227661,1,258,U,AH
